	Species	Genes	Methylobacterium durans	Methylobacterium indicum	Methylobacterium phyllosphaerae	Methylobacterium radiodurans	Methylobacterium terrae	mean ZH-Score
1347	5	5	WP_109891354.1	WP_048428752.1	WP_043354884.1	WP_109953896.1	WP_109961131.1	3958.3393842105265
560	5	5	WP_109888514.1	WP_207183586.1	WP_043345507.1	WP_109953964.1	WP_109959577.1	3956.6056650000014
133	5	5	WP_109886936.1	WP_207181643.1	WP_043757045.1	WP_109952459.1	WP_109958121.1	3955.9002250000003
530	5	5	WP_109888431.1	WP_048426415.1	WP_043354409.1	WP_109951389.1	WP_109960922.1	3954.0269099999996
1658	5	5	WP_109892166.1	WP_207179654.1	WP_075381432.1	WP_109951927.1	WP_109958568.1	3952.502073684211
45	5	5	WP_109886730.1	WP_207178896.1	WP_075381881.1	WP_109953799.1	WP_109957373.1	3952.0846125
724	5	5	WP_109889314.1	WP_058617052.1	WP_043350596.1	WP_109953586.1	WP_109959359.1	3944.863613636364
736	5	5	WP_109889354.1	WP_058617696.1	WP_236952731.1	WP_109951346.1	WP_109962250.1	3944.498361538461
2806	5	5	WP_236960751.1	WP_244749065.1	WP_075380747.1	WP_245930746.1	WP_109962286.1	3939.5525090909096
597	5	8	WP_109888693.1,WP_109893773.1	WP_207184054.1	WP_075382198.1,WP_159020427.1	WP_109950807.1,WP_109951640.1	WP_109959859.1	3937.6088785714282
2324	5	5	WP_109895734.1	WP_207181622.1	WP_075380399.1	WP_109952447.1	WP_109962131.1	3933.2511105263166
660	5	5	WP_109888983.1	WP_207181707.1	WP_075380800.1	WP_109950561.1	WP_109958410.1	3928.481384210526
1764	5	5	WP_109892448.1	WP_207182998.1	WP_043380905.1	WP_109953113.1	WP_109961536.1	3922.35614
450	5	5	WP_109887876.1	WP_207178156.1	WP_043384468.1	WP_109952620.1	WP_109957807.1	3920.6650125
23	5	5	WP_109886674.1	WP_244748902.1	WP_091955060.1	WP_245930715.1	WP_109962220.1	3918.017033333334
3694	5	5	WP_109888337.1	WP_207181103.1	WP_075381871.1	WP_245930897.1	WP_109959114.1	3917.3457666666663
2610	5	5	WP_194075088.1	WP_165602025.1	WP_167380409.1	WP_204165189.1	WP_167450832.1	3912.9638533333336
2435	5	5	WP_109896315.1	WP_058616926.1	WP_053610028.1	WP_109953954.1	WP_109958345.1	3905.7080700000006
1219	5	5	WP_109890883.1	WP_207177909.1	WP_043355941.1	WP_109951258.1	WP_109958592.1	3903.794821052632
2096	5	5	WP_109895083.1	WP_048425520.1	WP_043355641.1	WP_109952366.1	WP_109960172.1	3903.3159866666665
825	5	5	WP_109889611.1	WP_048428602.1	WP_043759589.1	WP_109953985.1	WP_109960758.1	3902.016788888888
1830	5	6	WP_109893278.1	WP_048427415.1	WP_043348059.1	WP_109951538.1,WP_109952629.1	WP_109958832.1	3900.564336363637
666	5	5	WP_109888997.1	WP_048428626.1	WP_012320644.1	WP_109950622.1	WP_109958415.1	3899.614875
190	5	5	WP_109887075.1	WP_207179354.1	WP_043357181.1	WP_109949752.1	WP_109958503.1	3890.1480818181813
1724	5	5	WP_109892350.1	WP_207183626.1	WP_043383718.1	WP_109952559.1	WP_109960265.1	3879.446861538462
564	5	5	WP_109888523.1	WP_207177815.1	WP_043384973.1	WP_109952919.1	WP_208642312.1	3877.2584461538468
2813	5	5	WP_236960803.1	WP_207183331.1	WP_075380751.1	WP_109949949.1	WP_208642262.1	3873.4587714285713
1462	5	5	WP_109891584.1	WP_207178978.1	WP_043354908.1	WP_245930574.1	WP_109960300.1	3863.8252769230758
1271	5	5	WP_109891168.1	WP_207183188.1	WP_043759155.1	WP_109950700.1	WP_109961570.1	3861.239452631579
1943	5	5	WP_109894069.1	WP_207183116.1	WP_075381361.1	WP_109953454.1	WP_109961688.1	3857.5820090909106
1761	5	5	WP_109892438.1	WP_244276366.1	WP_075381630.1	WP_109953116.1	WP_245442966.1	3854.583531578947
2836	5	7	WP_236960932.1	WP_122982833.1	WP_043349101.1,WP_043759692.1	WP_109951886.1,WP_109953927.1	WP_109958042.1	3853.5543066666664
454	5	5	WP_109887893.1	WP_048430263.1	WP_043346719.1	WP_109951140.1	WP_109958178.1	3847.6028619047624
2382	5	5	WP_109895910.1	WP_048426157.1	WP_043347410.1	WP_109951501.1	WP_109960129.1	3841.4356239999997
871	5	5	WP_109889727.1	WP_207183458.1	WP_043385197.1	WP_109950457.1	WP_245443024.1	3839.4400533333333
1328	5	5	WP_109891310.1	WP_048431288.1	WP_085987666.1	WP_109951213.1	WP_048436196.1	3836.6295357142867
2213	5	5	WP_109895474.1	WP_207179188.1	WP_043350201.1	WP_109952520.1	WP_109962267.1	3831.9771499999997
226	5	5	WP_109887162.1	WP_207178366.1	WP_075381373.1	WP_109949511.1	WP_109960531.1	3827.2927999999997
15	5	5	WP_109886656.1	WP_207181067.1	WP_043348083.1	WP_109952186.1	WP_109960790.1	3825.8964615384616
316	5	5	WP_109887464.1	WP_207179646.1	WP_075381421.1	WP_109950520.1	WP_109960401.1	3824.7020450000005
1105	5	5	WP_109890537.1	WP_048429304.1	WP_012320343.1	WP_066922146.1	WP_048429304.1	3821.9264086956523
2843	5	5	WP_236960954.1	WP_207182144.1	WP_043356904.1	WP_109953983.1	WP_109960672.1	3817.843575
2645	5	5	WP_194075204.1	WP_207177896.1	WP_075379970.1	WP_109953717.1	WP_109958176.1	3817.418313333333
146	5	5	WP_109886964.1	WP_048429638.1	WP_043345888.1	WP_109953666.1	WP_109959842.1	3812.8754800000006
1230	5	5	WP_109890921.1	WP_048429167.1	WP_043351319.1	WP_109953840.1	WP_245443034.1	3809.6743699999997
2108	5	5	WP_109895107.1	WP_207183122.1	WP_170861831.1	WP_109952360.1	WP_109961681.1	3808.8383733333335
2235	5	5	WP_109895516.1	WP_207181883.1	WP_075380230.1	WP_109952150.1	WP_109962369.1	3807.7799705882353
2132	5	5	WP_109895164.1	WP_048429320.1	WP_075380823.1	WP_109951863.1	WP_167450830.1	3807.16490625
1700	5	5	WP_109892286.1	WP_207182524.1	WP_170861876.1	WP_109953222.1	WP_109962375.1	3801.5160476190476
4768	5	5	WP_109889417.1	WP_207183127.1	WP_043755846.1	WP_109949794.1	WP_109961673.1	3797.718476923076
1315	5	5	WP_109891276.1	WP_048428425.1	WP_043350697.1	WP_109953398.1	WP_109960378.1	3794.272357894737
531	5	5	WP_109888432.1	WP_048426414.1	WP_043354407.1	WP_109951390.1	WP_109960923.1	3787.532792307692
836	5	5	WP_109889640.1	WP_207182135.1	WP_075380962.1	WP_109950064.1	WP_109960681.1	3787.4706999999994
2013	5	5	WP_109894419.1	WP_207181585.1	WP_170861878.1	WP_109949514.1	WP_109960960.1	3786.962164285714
1740	5	5	WP_109892392.1	WP_207179102.1	WP_075380360.1	WP_109951783.1	WP_109959063.1	3784.7234125
826	5	5	WP_109889613.1	WP_048430924.1	WP_075381010.1	WP_109950079.1	WP_109960756.1	3773.5854142857147
808	5	5	WP_109889566.1	WP_207182031.1	WP_075381025.1	WP_109950097.1	WP_109960773.1	3764.3610714285724
2259	5	5	WP_109895566.1	WP_048425819.1	WP_012319192.1	WP_109952593.1	WP_048425819.1	3762.3442000000005
1177	5	5	WP_109890779.1	WP_207180446.1	WP_053611122.1	WP_109954052.1	WP_109960452.1	3758.5354105263164
303	5	5	WP_109887447.1	WP_058617140.1	WP_043352612.1	WP_109950736.1	WP_109957663.1	3752.0031999999997
521	5	5	WP_109888410.1	WP_207183276.1	WP_043385225.1	WP_109954027.1	WP_109959649.1	3748.2265666666676
776	5	5	WP_109889493.1	WP_207183372.1	WP_170861822.1	WP_109953706.1	WP_109957628.1	3739.583878571428
1508	5	5	WP_109891683.1	WP_207178985.1	WP_075381366.1	WP_109951424.1	WP_109960288.1	3734.73968
330	5	5	WP_109887483.1	WP_207177846.1	WP_043760307.1	WP_109953710.1	WP_109958236.1	3730.8258461538467
2019	5	5	WP_109894433.1	WP_058618884.1	WP_043350668.1	WP_109952381.1	WP_109961917.1	3725.764236
2376	5	5	WP_109895888.1	WP_048429745.1	WP_075380840.1	WP_109951237.1	WP_109960047.1	3723.753278571429
159	5	5	WP_109886995.1	WP_207181524.1	WP_075380456.1	WP_109953894.1	WP_109958603.1	3722.470794736843
1970	5	5	WP_109894183.1	WP_048429603.1	WP_043354561.1	WP_109952401.1	WP_109961683.1	3721.567855555555
766	5	5	WP_109889456.1	WP_089504122.1	WP_043353911.1	WP_109949969.1	WP_109961134.1	3720.9056727272723
790	5	5	WP_109889523.1	WP_207182471.1	WP_043355903.1	WP_245930963.1	WP_109957673.1	3715.260826315789
2447	5	5	WP_109896392.1	WP_048425744.1	WP_043350261.1	WP_109951117.1	WP_109959277.1	3714.433694736842
216	5	5	WP_109887135.1	WP_207177791.1	WP_043382003.1	WP_109951495.1	WP_245443031.1	3707.7450611111117
2309	5	5	WP_109895695.1	WP_082173743.1	WP_075381519.1	WP_109953095.1	WP_064504256.1	3705.53262631579
2769	5	5	WP_236960549.1	WP_207182382.1	WP_075380508.1	WP_109954058.1	WP_167450854.1	3705.196488235294
2358	5	5	WP_109895820.1	WP_207181054.1	WP_075381981.1	WP_109952668.1	WP_109960799.1	3704.618581818182
2821	5	5	WP_236960852.1	WP_053220893.1	WP_043355970.1	WP_245930780.1	WP_245442694.1	3694.0071000000003
548	5	5	WP_109888480.1	WP_244748822.1	WP_043354403.1	WP_245930701.1	WP_109960852.1	3690.5018750000004
845	5	5	WP_109889659.1	WP_048425515.1	WP_053609619.1	WP_109954026.1	WP_109960735.1	3684.3731083333337
1072	5	5	WP_109890463.1	WP_244748870.1	WP_043353976.1	WP_245930893.1	WP_245442629.1	3681.897411764705
512	5	5	WP_109888387.1	WP_207183509.1	WP_043757476.1	WP_245930999.1	WP_208642346.1	3681.5321
991	5	5	WP_109890123.1	WP_244749016.1	WP_075380729.1	WP_109949731.1	WP_109957492.1	3674.711004166667
1515	5	5	WP_109891701.1	WP_207177849.1	WP_075380733.1	WP_109949833.1	WP_109958229.1	3670.792840740741
176	5	5	WP_109887035.1	WP_048425459.1	WP_043759113.1	WP_109951232.1	WP_109959567.1	3665.480221428571
628	5	5	WP_109888907.1	WP_048430428.1	WP_043381242.1	WP_109949634.1	WP_109959733.1	3660.7297
363	5	5	WP_109887557.1	WP_048429713.1	WP_043380596.1	WP_109950606.1	WP_109958257.1	3657.175738461539
494	5	5	WP_109888223.1	WP_207182268.1	WP_043350247.1	WP_109951173.1	WP_109959004.1	3656.100523076923
2392	5	5	WP_109896001.1	WP_048429712.1	WP_043380594.1	WP_109954050.1	WP_109958256.1	3655.4569315789468
1690	5	5	WP_109892258.1	WP_207178882.1	WP_075379672.1	WP_109953745.1	WP_109957383.1	3652.9707999999996
1772	5	6	WP_109892586.1	WP_207180007.1	WP_075379704.1	WP_109950301.1,WP_109951272.1	WP_109957533.1	3643.6778000000004
556	5	5	WP_109888496.1	WP_048430710.1	WP_043355015.1	WP_109954056.1	WP_109959415.1	3641.7000625
3977	5	5	WP_109892298.1	WP_207183308.1	WP_043347072.1	WP_109953216.1	WP_109961346.1	3637.862573333333
1813	5	5	WP_109893022.1	WP_207181295.1	WP_075381652.1	WP_109954002.1	WP_109959381.1	3633.7156
1426	5	5	WP_109891528.1	WP_207180489.1	WP_043347174.1	WP_109949619.1	WP_109960355.1	3629.4505454545447
2138	5	5	WP_109895178.1	WP_207177780.1	WP_075380055.1	WP_109952082.1	WP_109960487.1	3627.130115789474
131	5	5	WP_109886932.1	WP_207181645.1	WP_052083600.1	WP_109952457.1	WP_109958122.1	3626.1398
2788	5	5	WP_236960654.1	WP_207181694.1	WP_236952717.1	WP_109952077.1	WP_245442849.1	3616.3539526315794
1343	5	5	WP_109891344.1	WP_207180948.1	WP_075381092.1	WP_109949650.1	WP_109958049.1	3615.5258437499997
2497	5	5	WP_109896588.1	WP_207181770.1	WP_075380369.1	WP_109953229.1	WP_109959315.1	3614.3421
1403	5	5	WP_109891478.1	WP_060848735.1	WP_043356047.1	WP_109951191.1	WP_109961174.1	3609.653444444444
2225	5	5	WP_109895496.1	WP_207179139.1	WP_075381322.1	WP_109952089.1	WP_109960252.1	3602.89875652174
931	5	5	WP_109889901.1	WP_207180739.1	WP_075380285.1	WP_109951215.1	WP_109957975.1	3602.8530159999996
866	5	5	WP_109889718.1	WP_082711635.1	WP_075380870.1	WP_109949660.1	WP_208642309.1	3600.012039130436
182	5	5	WP_109887051.1	WP_207180732.1	WP_043379941.1	WP_109953735.1	WP_109962117.1	3596.077446153846
1738	5	5	WP_109892388.1	WP_048426569.1	WP_043347045.1	WP_109951781.1	WP_109959061.1	3595.882836842106
1793	5	5	WP_109892771.1	WP_207181502.1	WP_075380423.1	WP_109951613.1	WP_109958627.1	3591.551722222223
1615	5	5	WP_109891949.1	WP_244748749.1	WP_043346872.1	WP_109953678.1	WP_109961480.1	3590.841992307692
2639	5	5	WP_194075191.1	WP_207182182.1	WP_043351301.1	WP_245930785.1	WP_109960612.1	3581.899917647059
624	5	5	WP_109888879.1	WP_207182361.1	WP_075381409.1	WP_109953435.1	WP_109958037.1	3572.65927826087
224	5	5	WP_109887157.1	WP_058618594.1	WP_043387526.1	WP_109949506.1	WP_109962421.1	3570.1956476190485
4613	5	5	WP_162560609.1	WP_207182052.1	WP_075381289.1	WP_109950414.1	WP_109960742.1	3569.79742631579
2011	5	5	WP_109894411.1	WP_207181356.1	WP_053609825.1	WP_109952396.1	WP_109960420.1	3564.54472
757	5	5	WP_109889430.1	WP_048429887.1	WP_052083544.1	WP_109949779.1	WP_109960524.1	3561.6673000000005
2045	5	5	WP_109894708.1	WP_207181007.1	WP_043381967.1	WP_109949594.1	WP_109960840.1	3558.41129375
912	5	5	WP_109889849.1	WP_207179668.1	WP_053609123.1	WP_109950057.1	WP_109958578.1	3554.212794117647
2676	5	5	WP_236960118.1	WP_207177954.1	WP_043382776.1	WP_109950734.1	WP_109959123.1	3545.76299047619
1342	5	5	WP_109891342.1	WP_207180946.1	WP_043348254.1	WP_109949649.1	WP_109958050.1	3540.31074
2660	5	5	WP_194075265.1	WP_207178200.1	WP_075381399.1	WP_109950642.1	WP_109957844.1	3537.9201631578953
829	5	5	WP_109889621.1	WP_179945859.1	WP_043354619.1	WP_109950111.1	WP_208642375.1	3537.0723263157897
929	5	5	WP_109889897.1	WP_207180735.1	WP_075380283.1	WP_109951217.1	WP_109957977.1	3531.9116882352937
868	5	5	WP_109889722.1	WP_207178564.1	WP_170861860.1	WP_109949658.1	WP_109961078.1	3529.455633333334
1773	5	6	WP_109889595.1,WP_109892590.1	WP_207183003.1	WP_075381008.1	WP_109950123.1	WP_245442754.1	3528.7318526315785
2666	5	5	WP_210206753.1	WP_048428881.1	WP_051044938.1	WP_204165276.1	WP_109962056.1	3527.3347624999997
2232	5	5	WP_109895510.1	WP_207181876.1	WP_043347125.1	WP_109953138.1	WP_109960317.1	3523.773621428571
2477	5	6	WP_109896530.1	WP_207178958.1	WP_043352437.1	WP_109950206.1,WP_109951758.1	WP_109961300.1	3520.8729850000004
214	5	5	WP_109887131.1	WP_048431506.1	WP_075380153.1	WP_109951498.1	WP_245442480.1	3518.607675
1799	5	5	WP_109892783.1	WP_207183196.1	WP_043349486.1	WP_109952368.1	WP_109961580.1	3517.9193555555553
217	5	5	WP_109887136.1	WP_048428900.1	WP_043355842.1	WP_109951494.1	WP_109960142.1	3502.272207142857
1516	5	5	WP_109891703.1	WP_058618158.1	WP_043357132.1	WP_109949834.1	WP_109958230.1	3497.7604615384626
2546	5	5	WP_109896952.1	WP_048430806.1	WP_170861830.1	WP_109952359.1	WP_245443064.1	3497.5344260869574
430	5	5	WP_109887806.1	WP_207178805.1	WP_075380406.1	WP_109949710.1	WP_109960013.1	3493.035386363637
1988	5	5	WP_109894269.1	WP_048430761.1	WP_075379756.1	WP_109950473.1	WP_109961966.1	3492.6727444444446
1721	5	5	WP_109892344.1	WP_244748698.1	WP_075379594.1	WP_109952555.1	WP_109960272.1	3490.8610296296297
1333	5	5	WP_109891320.1	WP_244748569.1	WP_043355384.1	WP_109954047.1	WP_245442794.1	3487.8679333333334
679	5	5	WP_109889047.1	WP_207182115.1	WP_075380096.1	WP_109952897.1	WP_109960695.1	3485.610594117647
658	5	5	WP_109888979.1	WP_058617410.1	WP_043358056.1	WP_109950559.1	WP_109958407.1	3484.0445
654	5	5	WP_109888969.1	WP_207177765.1	WP_043358063.1	WP_109950554.1	WP_109961940.1	3483.9265294117645
778	5	5	WP_109889502.1	WP_048429994.1	WP_043353172.1	WP_109953206.1	WP_109957352.1	3483.4671791666674
2091	5	5	WP_109895073.1	WP_048425524.1	WP_043350919.1	WP_109953353.1	WP_109960160.1	3482.902981818181
361	5	5	WP_109887555.1	WP_207181485.1	WP_075380309.1	WP_109950943.1	WP_109958254.1	3482.421225
1285	5	5	WP_109891204.1	WP_207177952.1	WP_075380719.1	WP_109950728.1	WP_109959126.1	3481.0754650000003
1565	5	5	WP_109891829.1	WP_207179666.1	WP_043760167.1	WP_109952070.1	WP_109958576.1	3469.7559095238094
1494	5	5	WP_109891649.1	WP_058619035.1	WP_075381504.1	WP_109953561.1	WP_109962011.1	3469.6086599999994
290	5	5	WP_109887364.1	WP_207182307.1	WP_043382876.1	WP_109951030.1	WP_109958680.1	3466.531044444445
2303	5	5	WP_109895683.1	WP_207181578.1	WP_043349473.1	WP_109952645.1	WP_109961021.1	3462.394914285714
2300	5	5	WP_109895675.1	WP_207178236.1	WP_236952777.1	WP_109952642.1	WP_109957887.1	3460.1510545454544
1454	5	5	WP_109891575.1	WP_207178957.1	WP_043758453.1	WP_109951760.1	WP_109961299.1	3459.1597384615384
1639	5	7	WP_109892118.1	WP_207179028.1,WP_207179132.1	WP_075380674.1,WP_075381177.1	WP_109952173.1	WP_109960066.1	3457.037425
1678	5	5	WP_109892222.1	WP_207178941.1	WP_075381402.1	WP_109953755.1	WP_109958425.1	3455.9873999999995
1003	5	5	WP_109890211.1	WP_207179630.1	WP_043757603.1	WP_109954293.1	WP_109957479.1	3450.4605653846156
2750	5	5	WP_236960491.1	WP_207181320.1	WP_236952914.1	WP_109953792.1	WP_109958142.1	3446.239261904762
2325	5	5	WP_109895736.1	WP_207181515.1	WP_075380298.1	WP_109953761.1	WP_109958618.1	3445.2133999999996
2627	5	7	WP_194075154.1	WP_207180327.1,WP_207183073.1	WP_075380286.1,WP_075381777.1	WP_245930819.1	WP_245442741.1	3443.052543478261
1651	5	5	WP_109892144.1	WP_207181358.1	WP_091955412.1	WP_109953658.1	WP_109960418.1	3440.8484615384614
1653	5	5	WP_109892148.1	WP_048428585.1	WP_043355313.1	WP_109951822.1	WP_109960344.1	3438.8849333333337
2681	5	5	WP_236960127.1	WP_207183322.1	WP_210274614.1	WP_245930789.1	WP_109960380.1	3438.541492857143
110	5	5	WP_109886875.1	WP_048461285.1	WP_075379628.1	WP_109953188.1	WP_109957735.1	3436.7946647058825
278	5	6	WP_109887343.1	WP_048426132.1	WP_043389384.1	WP_109950289.1,WP_109951726.1	WP_109961858.1	3435.2045562499998
2119	5	5	WP_109895134.1	WP_207182406.1	WP_043355362.1	WP_109954174.1	WP_109961237.1	3432.9674333333332
1691	5	5	WP_109892260.1	WP_207178886.1	WP_043356239.1	WP_109953743.1	WP_109957380.1	3432.316349999999
2486	5	5	WP_109896560.1	WP_207183261.1	WP_075381439.1	WP_109952126.1	WP_109959674.1	3429.0340578947375
649	5	5	WP_109888956.1	WP_048426267.1	WP_043385135.1	WP_109950682.1	WP_109960770.1	3425.308306666667
870	5	5	WP_109889725.1	WP_048428044.1	WP_043385201.1	WP_109950456.1	WP_109959979.1	3424.5929153846155
572	5	5	WP_109888544.1	WP_058618782.1	WP_075381511.1	WP_109950001.1	WP_109960786.1	3415.392581481481
2375	5	5	WP_109895886.1	WP_207178747.1	WP_043348313.1	WP_109951239.1	WP_109961316.1	3410.168269230769
1047	5	5	WP_109890310.1	WP_207178314.1	WP_075381370.1	WP_109954070.1	WP_109959035.1	3410.060493333333
2202	5	5	WP_109895452.1	WP_048429805.1	WP_043758285.1	WP_109951839.1	WP_109959341.1	3402.78706
1798	5	5	WP_109892781.1	WP_207183197.1	WP_043349483.1	WP_109952369.1	WP_109961581.1	3401.0297272727275
569	5	5	WP_109888535.1	WP_058620508.1	WP_170861898.1	WP_109951900.1	WP_109962124.1	3394.197778947369
2850	5	5	WP_236960974.1	WP_058618830.1	WP_053609058.1	WP_245930939.1	WP_245442631.1	3391.4436599999995
2485	5	5	WP_109896554.1	WP_048430186.1	WP_083683697.1	WP_109952896.1	WP_109957831.1	3387.03665
255	5	6	WP_109887303.1	WP_207183441.1	WP_043353683.1,WP_075381608.1	WP_091882014.1	WP_109959172.1	3386.6551777777777
2618	5	5	WP_194075135.1	WP_207177855.1	WP_075380258.1	WP_109952103.1	WP_109958223.1	3383.5492999999997
2884	5	5	WP_236961102.1	WP_244278490.1	WP_043356502.1	WP_245931074.1	WP_245443042.1	3380.457725
2212	5	5	WP_109895472.1	WP_048430569.1	WP_010683687.1	WP_066918869.1	WP_048462449.1	3377.8587846153846
2630	5	7	WP_194075164.1	WP_207179244.1,WP_244749158.1	WP_075379921.1	WP_109949562.1	WP_109959115.1,WP_109959792.1	3377.6575032258074
375	5	5	WP_109887572.1	WP_207180565.1	WP_043348390.1	WP_109953601.1	WP_109959201.1	3374.750542857143
771	5	5	WP_109889481.1	WP_244749097.1	WP_236952970.1	WP_109949955.1	WP_109960081.1	3368.334652941176
735	5	5	WP_109889352.1	WP_048427651.1	WP_053610948.1	WP_109951347.1	WP_109960512.1	3367.1033692307683
2696	5	5	WP_236960163.1	WP_207177875.1	WP_043382849.1	WP_245930568.1	WP_109959186.1	3366.742688888889
745	5	5	WP_109889402.1	WP_244749055.1	WP_170861804.1	WP_245931018.1	WP_245443063.1	3363.7140679999998
2507	5	5	WP_109896628.1	WP_207183487.1	WP_052083781.1	WP_109951925.1	WP_109962516.1	3361.201342105263
2357	5	5	WP_109895818.1	WP_207181031.1	WP_043381111.1	WP_109952663.1	WP_109960809.1	3360.3303199999996
547	5	5	WP_109888478.1	WP_207181092.1	WP_085987680.1	WP_109950014.1	WP_109960853.1	3359.880304545455
2560	5	5	WP_109896991.1	WP_207179046.1	WP_083683471.1	WP_245931009.1	WP_208642384.1	3355.101568421053
747	5	5	WP_109889406.1	WP_058619016.1	WP_043379471.1	WP_109951020.1	WP_109961275.1	3354.4254
22	5	5	WP_109886672.1	WP_207182009.1	WP_236952989.1	WP_109953767.1	WP_109958908.1	3353.7931090909087
62	5	5	WP_109886773.1	WP_207181522.1	WP_075381900.1	WP_109953823.1	WP_109959171.1	3349.9150695652174
1151	5	5	WP_109890673.1	WP_244748881.1	WP_075380984.1	WP_109951945.1	WP_245442927.1	3345.4427133333334
1159	5	5	WP_109890737.1	WP_207180421.1	WP_043346075.1	WP_109952890.1	WP_109957361.1	3341.237668
132	5	5	WP_109886934.1	WP_244748867.1	WP_043757042.1	WP_109952458.1	WP_245442834.1	3336.5088125
1461	5	5	WP_109891583.1	WP_048429340.1	WP_043758780.1	WP_109951947.1	WP_109959373.1	3332.0659371428574
55	5	5	WP_109886758.1	WP_058619404.1	WP_043352302.1	WP_109953815.1	WP_109957846.1	3328.980173333333
1969	5	5	WP_109894181.1	WP_207183121.1	WP_043761076.1	WP_109952400.1	WP_245442727.1	3320.4080666666678
3970	5	5	WP_109890585.1	WP_207177740.1	WP_075380517.1	WP_109953049.1	WP_109960181.1	3317.4440954545457
1087	5	5	WP_109890499.1	WP_048425437.1	WP_043353985.1	WP_109950908.1	WP_109959545.1	3311.867442857143
1986	5	6	WP_109894255.1	WP_207178834.1	WP_043388871.1	WP_109952159.1,WP_109952208.1	WP_109959085.1	3311.1894615384617
52	5	5	WP_109886752.1	WP_207178216.1	WP_075380214.1	WP_109953812.1	WP_109957861.1	3309.5212600000004
2445	5	5	WP_109896384.1	WP_244748703.1	WP_043381913.1	WP_109950922.1	WP_245442949.1	3308.302338461538
1546	5	5	WP_109891781.1	WP_207177828.1	WP_043356544.1	WP_109953177.1	WP_109959237.1	3307.9609277777777
2162	5	5	WP_109895240.1	WP_048431149.1	WP_043351157.1	WP_109952169.1	WP_109961434.1	3300.580308333334
2366	5	5	WP_109895844.1	WP_244748885.1	WP_075381487.1	WP_245931015.1	WP_109959300.1	3298.7124454545456
1256	5	5	WP_109890978.1	WP_207177811.1	WP_075381424.1	WP_109950655.1	WP_109959426.1	3294.0587615384616
1299	5	5	WP_109891240.1	WP_207177999.1	WP_075380171.1	WP_109950400.1	WP_109960931.1	3290.388896875
2147	5	5	WP_109895196.1	WP_207182439.1	WP_043353887.1	WP_109952109.1	WP_245442546.1	3288.2985000000003
206	5	5	WP_109887112.1	WP_207178214.1	WP_051044692.1	WP_109951510.1	WP_109957852.1	3288.2254933333334
897	5	5	WP_109889797.1	WP_058618262.1	WP_043352051.1	WP_109950826.1	WP_109957396.1	3270.6642444444446
2136	5	5	WP_109895174.1	WP_207179143.1	WP_043351142.1	WP_109952021.1	WP_109960246.1	3270.3554
2692	5	5	WP_236960158.1	WP_244748655.1	WP_043354914.1	WP_245930575.1	WP_109960297.1	3269.198326666666
2334	5	5	WP_109895762.1	WP_207181541.1	WP_075381351.1	WP_109952130.1	WP_109959178.1	3262.218941176471
561	5	5	WP_109888516.1	WP_207178704.1	WP_053608378.1	WP_109949963.1	WP_109959576.1	3260.3099500000003
1254	5	5	WP_109890970.1	WP_207181799.1	WP_043350518.1	WP_109949914.1	WP_109960198.1	3259.301542857143
901	5	8	WP_109889808.1	WP_207178329.1	WP_053610259.1,WP_075380207.1	WP_109951660.1,WP_109953499.1	WP_109957597.1,WP_109959640.1	3256.615427272727
100	5	5	WP_109886856.1	WP_048428445.1	WP_043347101.1	WP_109951571.1	WP_109961332.1	3255.4919333333332
2722	5	5	WP_236960312.1	WP_048425666.1	WP_043351003.1	WP_245930740.1	WP_109960832.1	3254.14574375
2852	5	5	WP_236960979.1	WP_244749061.1	WP_075380518.1	WP_245931067.1	WP_245443032.1	3243.098123529412
158	5	5	WP_109886991.1	WP_058617775.1	WP_043346098.1	WP_109953893.1	WP_109957287.1	3241.544863636364
2865	5	5	WP_236961016.1	WP_058619173.1	WP_083683572.1	WP_245931113.1	WP_109958427.1	3239.2327307692303
189	5	6	WP_109887073.1,WP_109888608.1	WP_048427864.1	WP_043357179.1	WP_109949751.1	WP_109960193.1	3235.43834
1509	5	5	WP_109891685.1	WP_207178987.1	WP_075381365.1	WP_109951423.1	WP_109960287.1	3232.9608
1395	5	5	WP_109891462.1	WP_058619883.1	WP_053610009.1	WP_109951172.1	WP_109957641.1	3231.5534300000004
2130	5	5	WP_109895160.1	WP_207179704.1	WP_075380485.1	WP_245930741.1	WP_109958445.1	3230.725341176471
944	5	5	WP_109889975.1	WP_048429536.1	WP_043384916.1	WP_109951153.1	WP_109958927.1	3226.216888888889
1484	5	5	WP_109891627.1	WP_048428419.1	WP_043347569.1	WP_109952007.1	WP_109960384.1	3222.2198750000002
1144	5	5	WP_109890645.1	WP_207178358.1	WP_043381960.1	WP_109953425.1	WP_109962058.1	3220.4347076923077
1186	5	5	WP_109890807.1	WP_048428904.1	WP_043355706.1	WP_109954195.1	WP_109960146.1	3220.0372833333336
2713	5	5	WP_236960201.1	WP_048431568.1	WP_075380353.1	WP_245930564.1	WP_245443044.1	3219.5069684210525
1963	5	5	WP_109894165.1	WP_048429610.1	WP_043384461.1	WP_109951544.1	WP_109962512.1	3219.1393772727283
50	5	5	WP_109886748.1	WP_207180140.1	WP_043354447.1	WP_109953809.1	WP_109961445.1	3218.2772958333335
1104	5	5	WP_109890535.1	WP_207178604.1	WP_043381925.1	WP_109951870.1	WP_109959258.1	3213.330233333333
